TubeNumber,BirdID,SampleDate,Qubit,Island.x,SumVeg_X_Inverts,TQ,TQcorrected,BirthDate,BirthYear,Lifespan,ReproductiveOutput,SexEstimate,CatchTime,season,Sequenced,survive,SamplingAge,Timeinfridge,SampleLeft,SampleType,TerminalYear,LatestEligibleDate,nage,FPID,pop_died,Froh_imp,SequencingRun,mean_TQ_FPID,meancentredTQ,Type
102,6384,2017-09-09,0.232,CN,35.04,61351.94,61351.94,2015-01-16,2015,4.7,2,1,229,major,0,1,2.6,11,Y,F,0,2019-09-23,0.5531914893617021,major_2017,0.09003215434083602,0.124276878,NA,57447.427596153844,3904.512403846158,F
1020,7169,2022-02-07,0.0328,CN,11.62,32824.71,32824.71,2020-07-29,2020,NA,NA,1,170,minor,0,1,1.5,39,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.035867262,NA,35016.47289719626,-2191.762897196262,F
1021,7105,2022-02-07,0.0672,CN,10.97,22521.1,22521.1,2019-07-20,2019,NA,NA,1,344,minor,0,1,2.6,39,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.086881093,NA,35016.47289719626,-12495.372897196263,F
1022,7075,2022-02-08,1e-4,CN,6.66,21895.66,21895.66,2018-05-11,2018,4.9,NA,1,155,minor,0,1,3.7,38,Y,F,0,2023-03-27,0.7551020408163265,minor_2022,0.13533834586466165,0.181443197,NA,35016.47289719626,-13120.812897196261,F
1023,6185,2022-02-08,0.0112,CN,9.84,35587.44,35587.44,2014-03-25,2014,NA,2,0,235,minor,0,1,7.9,38,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.094763995,NA,35016.47289719626,570.967102803741,F
1024,7232,2022-02-10,0.0396,CN,9.18,19634.65,19634.65,2022-01-30,2022,NA,NA,1,101,minor,0,1,0,36,N,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-15381.82289719626,F
1025,7235,2022-02-10,0.0176,CN,9.68,22252.55,22252.55,2021-05-12,2021,1.9,NA,1,506,minor,0,1,0.8,36,N,F,0,2023-03-27,0.4210526315789474,minor_2022,0.13533834586466165,0.078336892,NA,35016.47289719626,-12763.922897196262,F
1026,6862,2022-02-11,0.0268,CN,4.05,11267.55,11267.55,2017-09-29,2017,NA,1,1,360,minor,0,1,4.4,35,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.097461064,NA,35016.47289719626,-23748.922897196262,F
1027,7234,2022-02-12,0.0396,CN,10.28,13935.43,13935.43,2021-09-28,2021,NA,NA,0,524,minor,0,1,0.4,34,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.03016676,NA,35016.47289719626,-21081.04289719626,F
1028,7109,2022-02-14,0.0234,CN,6.19,8961.29,8961.29,2018-12-18,2018,3.7,NA,0,199,minor,0,1,3.2,32,N,F,1,2022-09-14,0.8648648648648649,minor_2022,0.13533834586466165,0.102044157,NA,35016.47289719626,-26055.18289719626,F
1029,7236,2022-02-14,0.022,CN,7.7,12992.47,12992.47,2021-05-16,2021,0.8,NA,0,167,minor,0,0,0.8,32,Y,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.029602877,NA,35016.47289719626,-22024.00289719626,F
103,6781,2017-09-08,0.226,CN,13.2,33230.86,33230.86,2017-07-15,2017,1.6,NA,1,354,major,0,1,0.2,12,Y,F,0,2019-03-09,0.125,major_2017,0.09003215434083602,0.110168356,NA,57447.427596153844,-24216.567596153844,F
1030,6200,2022-02-14,1e-4,CN,13.21,28809.49,28809.49,2014-06-22,2014,NA,3,1,167,minor,0,1,7.6,32,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.228387597,NA,35016.47289719626,-6206.98289719626,F
1031,7179,2022-02-14,0.0216,CN,7.7,12992.47,12992.47,2020-10-22,2020,1.9,NA,1,170,minor,0,1,1.3,32,N,F,1,2022-09-14,0.6842105263157895,minor_2022,0.13533834586466165,0.035240237,NA,35016.47289719626,-22024.00289719626,F
1032,7237,2022-02-14,0.0296,CN,1.96,5346.83,5346.83,2021-09-30,2021,NA,NA,0,199,minor,0,1,0.4,32,N,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-29669.64289719626,F
1033,6381,2022-02-15,0.0122,CN,1.91,3139.3,3139.3,2015-08-25,2015,8.1,NA,1,143,minor,1,1,6.5,31,N,F,0,2023-10-09,0.8024691358024691,minor_2022,0.13533834586466165,0.216520676,1,35016.47289719626,-31877.172897196262,F
1034,7238,2022-02-15,0.0284,CN,23.81,41309.35,41309.35,2021-05-17,2021,NA,NA,1,142,minor,0,1,0.8,31,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.048009481,NA,35016.47289719626,6292.877102803737,F
1035,6710,2022-02-15,0.0312,CN,9.84,35587.44,35587.44,2016-10-14,2016,NA,1,1,250,minor,0,1,5.3,31,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.057755404,NA,35016.47289719626,570.967102803741,F
1036,7148,2022-02-15,0.0176,CN,13.15,26594.4,26594.4,2020-07-28,2020,NA,NA,0,266,minor,0,1,1.6,31,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.0355883,NA,35016.47289719626,-8422.07289719626,F
1037,7145,2022-02-15,0.0324,CN,13.15,26594.4,26594.4,2020-12-12,2020,NA,NA,1,268,minor,0,1,1.2,31,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.043660262,NA,35016.47289719626,-8422.07289719626,F
1038,6739,2022-02-17,0.0528,CN,3.84,5684.63,5684.63,2017-07-29,2017,5.1,NA,1,193,minor,1,1,4.6,29,N,F,1,2022-09-14,0.9019607843137255,minor_2022,0.13533834586466165,0.126127161,2,35016.47289719626,-29331.84289719626,F
1039,7237,2022-02-17,1e-4,CN,1.96,5346.83,5346.83,2021-09-30,2021,NA,NA,0,266,minor,0,1,0.4,29,Y,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-29669.64289719626,F
104,6775,2017-09-09,0.13,CN,40.13,127889.23,127889.23,2017-07-16,2017,1.6,NA,1,125,major,0,1,0.2,11,N,F,0,2019-03-09,0.125,major_2017,0.09003215434083602,0.053906559,NA,57447.427596153844,70441.80240384614,F
1040,6857,2022-02-17,0.0352,CN,1.96,5346.83,5346.83,2018-02-07,2018,NA,NA,1,266,minor,0,1,4,29,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.156363112,NA,35016.47289719626,-29669.64289719626,F
1041,7233,2022-02-17,1e-4,CN,11.06,30575.78,30575.78,2021-09-21,2021,1.5,NA,1,496,minor,0,1,0.4,29,N,F,0,2023-03-27,0.26666666666666666,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-4440.6928971962625,F
1042,7113,2022-02-18,0.0452,CN,2.12,8227.19,8227.19,2019-05-14,2019,NA,NA,0,110,minor,0,1,2.8,28,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.063038928,NA,35016.47289719626,-26789.28289719626,F
1043,6554,2022-02-18,0.94,CN,2.12,8227.19,8227.19,2015-09-26,2015,NA,2,0,360,minor,0,1,6.4,28,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.100920607,NA,35016.47289719626,-26789.28289719626,F
1044,NA,2022-02-18,0.0392,CN,NA,NA,NA,NA,NA,NA,10224,NA,360,minor,0,NA,NA,28,N,C,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,NA,NA,C
1045,5779,2022-02-18,1e-4,CN,2.12,8227.19,8227.19,2011-02-08,2011,NA,4,1,125,minor,0,1,11,28,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.134887366,NA,35016.47289719626,-26789.28289719626,F
1046,7239,2022-02-18,0.052,CN,2.12,8227.19,8227.19,2021-05-20,2021,NA,NA,0,183,minor,0,1,0.8,28,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.063038928,NA,35016.47289719626,-26789.28289719626,F
1047,7071,2022-02-28,1e-4,CN,4.98,8062.96,8062.96,2018-09-15,2018,NA,NA,1,485,minor,0,1,3.5,18,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.105773132,NA,35016.47289719626,-26953.512897196262,F
1048,7171,2022-03-01,0.0102,CN,8.8,23231.26,23231.26,2020-10-14,2020,NA,NA,1,131,minor,0,1,1.4,17,Y,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-11785.212897196263,F
1049,7193,2022-03-01,0.012,CN,4.05,11267.55,11267.55,2021-07-02,2021,1.2,NA,1,202,minor,0,1,0.7,17,N,F,1,2022-09-14,0.5833333333333334,minor_2022,0.13533834586466165,0.066621916,NA,35016.47289719626,-23748.922897196262,F
105,6780,2017-09-09,0.0424,CN,29.16,77431.93,77431.93,2017-07-16,2017,NA,NA,0,349,major,0,1,0.2,11,N,F,0,NA,NA,major_2017,0.09003215434083602,0.128202887,NA,57447.427596153844,19984.50240384615,F
1050,7242,2022-03-01,0.0268,CN,1.34,3638.99,3638.99,2021-05-31,2021,0.8,NA,0,212,minor,0,0,0.8,17,N,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.029843716,NA,35016.47289719626,-31377.482897196263,F
1051,7148,2022-03-01,0.0174,CN,13.15,26594.4,26594.4,2020-07-28,2020,NA,NA,0,248,minor,0,1,1.6,17,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.0355883,NA,35016.47289719626,-8422.07289719626,F
1052,6735,2022-03-01,0.0644,CN,8.8,23231.26,23231.26,2016-07-19,2016,NA,NA,0,253,minor,0,1,5.6,17,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.098493887,NA,35016.47289719626,-11785.212897196263,F
1053,NA,2022-03-01,0.0276,CN,NA,NA,NA,NA,NA,NA,10224,NA,360,minor,0,NA,NA,17,N,C,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,NA,NA,C
1054,6917,2022-03-01,0.0272,CN,12.49,40932.66,40932.66,2017-09-19,2017,NA,NA,0,346,minor,0,1,4.4,17,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.17659892,NA,35016.47289719626,5916.187102803742,F
1055,7243,2022-03-02,0.062,CN,16.04,16441.21,16441.21,2021-06-01,2021,NA,NA,0,149,minor,0,1,0.8,16,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.100222284,NA,35016.47289719626,-18575.262897196262,F
1056,7075,2022-03-02,0.0244,CN,6.66,21895.66,21895.66,2018-05-11,2018,4.9,NA,1,214,minor,0,1,3.8,16,Y,F,0,2023-03-27,0.7755102040816325,minor_2022,0.13533834586466165,0.181443197,NA,35016.47289719626,-13120.812897196261,F
1057,5521,2022-03-02,0.0164,CN,6.66,21895.66,21895.66,2009-11-08,2009,12.9,2,0,309,minor,0,1,12.3,16,N,F,1,2022-09-14,0.9534883720930233,minor_2022,0.13533834586466165,0.123217479,NA,35016.47289719626,-13120.812897196261,F
1058,6746,2022-03-03,0.0624,CN,4.86,8612.4,8612.4,2017-06-16,2017,NA,NA,1,333,minor,0,1,4.7,15,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.032118584,NA,35016.47289719626,-26404.07289719626,F
1059,7189,2022-03-03,0.0144,CN,11.44,22361.39,22361.39,2020-10-15,2020,NA,NA,1,613,minor,0,1,1.4,15,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.108955912,NA,35016.47289719626,-12655.082897196262,F
106,6774,2017-09-08,0.0424,CN,15.67,59170.47,59170.47,2017-07-15,2017,2.7,NA,1,241,major,0,1,0.2,12,N,F,0,2020-03-16,0.07407407407407407,major_2017,0.09003215434083602,0.100532039,NA,57447.427596153844,1723.042403846157,F
1060,6158,2022-03-04,0.0116,CN,44.39,86152.69,86152.69,2014-03-02,2014,9.6,1,1,229,minor,1,1,8,14,Y,F,0,2023-10-09,0.8333333333333334,minor_2022,0.13533834586466165,0.129053339,1,35016.47289719626,51136.21710280374,F
1061,7123,2022-03-04,1e-4,CN,44.39,86152.69,86152.69,2019-05-16,2019,NA,NA,0,239,minor,0,1,2.8,14,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.040154805,NA,35016.47289719626,51136.21710280374,F
1062,NA,2022-03-01,1e-4,CN,NA,NA,NA,NA,NA,NA,10224,NA,360,minor,0,NA,NA,17,N,C,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,NA,NA,C
1063,7225,2022-03-04,0.0436,CN,3.51,10602.29,10602.29,2021-05-03,2021,NA,NA,1,262,minor,0,1,0.8,14,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.062271231,NA,35016.47289719626,-24414.18289719626,F
1064,7244,2022-03-05,0.0564,CN,44.1,109467.48,109467.48,2021-06-04,2021,NA,NA,1,165,minor,0,1,0.8,13,Y,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,74451.00710280373,F
1065,7221,2022-03-05,1e-4,CN,44.1,109467.48,109467.48,2021-04-26,2021,NA,NA,0,166,minor,0,1,0.9,13,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.054691944,NA,35016.47289719626,74451.00710280373,F
1066,6918,2022-03-05,0.0852,CN,44.1,109467.48,109467.48,2018-07-17,2018,NA,NA,1,178,minor,0,1,3.6,13,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.128226714,NA,35016.47289719626,74451.00710280373,F
1067,7228,2022-03-05,0.0444,CN,6.95,16829.54,16829.54,2021-05-03,2021,1.4,NA,1,286,minor,0,1,0.8,13,Y,F,1,2022-09-14,0.5714285714285715,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-18186.93289719626,F
1068,6558,2022-03-05,0.0672,CN,48.63,65994.29,65994.29,2015-10-15,2015,6.4,NA,0,556,minor,1,0,6.4,13,N,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.025808468,2,35016.47289719626,30977.817102803732,F
1069,6736,2022-03-07,0.044,CN,14.51,24453.67,24453.67,2017-03-10,2017,NA,NA,1,138,minor,0,1,5,11,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.048747669,NA,35016.47289719626,-10562.802897196263,F
107,6782,2017-09-10,NA,CN,7.15,29038.84,29038.84,2017-08-27,2017,1.5,NA,1,600,major,0,1,0,10,NA,F,0,2019-03-09,0,major_2017,0.09003215434083602,0.154661291,NA,57447.427596153844,-28408.587596153844,F
1070,7196,2022-03-07,0.0232,CN,6.02,7756.29,7756.29,2021-08-10,2021,0.6,NA,0,479,minor,0,0,0.6,11,N,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.055412903,NA,35016.47289719626,-27260.18289719626,F
1071,6920,2022-03-07,1e-4,CN,6.02,7756.29,7756.29,2018-07-18,2018,4.2,1,0,485,minor,0,1,3.6,11,N,F,1,2022-09-14,0.8571428571428571,minor_2022,0.13533834586466165,0.077402036,NA,35016.47289719626,-27260.18289719626,F
1072,6892,2022-03-09,1e-4,CN,33.67,160081.67,160081.67,2018-04-09,2018,NA,1,1,240,minor,0,1,3.9,9,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.106981911,NA,35016.47289719626,125065.19710280375,F
1073,6294,2022-03-10,0.0174,CN,12.17,35782.47,35782.47,2014-12-02,2014,8.3,1,1,193,minor,0,1,7.3,8,Y,F,0,2023-03-27,0.8795180722891566,minor_2022,0.13533834586466165,0.128597871,NA,35016.47289719626,765.9971028037398,F
1074,7229,2022-03-10,0.0472,CN,1.96,5346.83,5346.83,2021-05-06,2021,NA,NA,1,189,minor,0,1,0.8,8,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.061139708,NA,35016.47289719626,-29669.64289719626,F
1075,7158,2022-03-10,1e-4,CN,12.17,35782.47,35782.47,2020-08-25,2020,1.6,NA,1,209,minor,0,0,1.5,8,N,F,1,2022-03-18,0.9375,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,765.9971028037398,F
1076,6653,2022-03-11,0.0218,CN,9.79,27160.66,27160.66,2015-11-04,2015,NA,NA,1,597,minor,0,1,6.3,7,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.042740711,NA,35016.47289719626,-7855.8128971962615,F
1077,7247,2022-03-11,0.036,CN,7.54,17236.77,17236.77,2021-06-10,2021,NA,NA,1,239,minor,0,1,0.8,7,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.071724444,NA,35016.47289719626,-17779.70289719626,F
1078,4885,2022-03-11,0.026,CN,14.02,37831.31,37831.31,2006-08-05,2006,15.6,1,0,600,minor,1,0,15.6,7,Y,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.130192468,2,35016.47289719626,2814.8371028037363,F
1079,6261,2022-03-12,0.116,CN,31.57,28981.26,28981.26,2014-07-28,2014,7.6,2,1,157,minor,1,0,7.6,6,Y,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.103362908,1,35016.47289719626,-6035.212897196263,F
108,6776,2017-09-09,NA,CN,22.02,39033.48,39033.48,2017-07-16,2017,2.7,NA,1,135,major,0,1,0.2,11,N,F,0,2020-03-16,0.07407407407407407,major_2017,0.09003215434083602,0.138179202,NA,57447.427596153844,-18413.94759615384,F
1080,7246,2022-03-12,0.0816,CN,23.15,43481.07,43481.07,2021-06-11,2021,NA,NA,0,175,minor,0,1,0.8,6,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.026220223,NA,35016.47289719626,8464.597102803738,F
1081,7232,2022-03-14,0.0204,CN,9.18,19634.65,19634.65,2022-01-30,2022,NA,NA,1,437,minor,0,1,0.1,4,N,F,0,NA,NA,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-15381.82289719626,F
1082,6144,2022-03-14,0.0364,CN,6.86,24440.63,24440.63,2014-02-21,2014,NA,4,1,510,minor,1,1,8.1,4,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.058430542,1,35016.47289719626,-10575.84289719626,F
1083,6864,2022-03-14,0.0288,CN,6.02,7756.29,7756.29,2017-10-03,2017,NA,1,1,510,minor,0,1,4.4,4,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.114515009,NA,35016.47289719626,-27260.18289719626,F
1084,7248,2022-03-15,1e-4,CN,1.91,3139.3,3139.3,2021-06-14,2021,NA,NA,1,148,minor,0,1,0.8,3,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.044182447,NA,35016.47289719626,-31877.172897196262,F
1085,7142,2022-03-15,0.0178,CN,6.48,16752.85,16752.85,2019-06-09,2019,NA,NA,1,520,minor,0,1,2.8,3,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.044233401,NA,35016.47289719626,-18263.622897196263,F
1086,7281,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,125,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1087,7282,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,137,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1088,7284,2022-04-17,NA,DS,NA,NA,NA,2021-07-17,2021,NA,NA,0,150,minor,0,NA,0.8,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1089,7285,2022-04-17,NA,DS,NA,NA,NA,2021-07-17,2021,NA,NA,1,170,minor,0,NA,0.8,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
109,6061,2017-09-10,0.0936,CN,18.33,41968.89,41968.89,2013-01-30,2013,5.7,5,0,120,major,1,1,4.6,10,N,F,0,2018-09-30,0.8070175438596491,major_2017,0.09003215434083602,0.161657359,1,57447.427596153844,-15478.537596153845,F
1090,7288,2022-04-17,NA,DS,NA,NA,NA,2022-02-21,2022,NA,NA,1,290,minor,0,NA,0.2,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1091,7289,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,305,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1092,7286,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,545,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1093,7277,2022-04-17,NA,DS,NA,NA,NA,2021-07-17,2021,NA,NA,1,570,minor,0,NA,0.8,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1094,7283,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,560,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1095,7279,2022-04-17,NA,DS,NA,NA,NA,2021-04-16,2021,NA,NA,1,680,minor,0,NA,1,15,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1096,7309,2022-04-18,NA,DS,NA,NA,NA,2021-07-18,2021,NA,NA,0,108,minor,0,NA,0.8,14,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1097,7308,2022-04-18,NA,DS,NA,NA,NA,2021-04-17,2021,NA,NA,1,87,minor,0,NA,1,14,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
1099,7338,2022-04-20,NA,DS,NA,NA,NA,2021-04-19,2021,NA,NA,1,110,minor,0,NA,1,12,NA,F,0,NA,NA,minor_2022,NA,NA,NA,NA,NA,F
11,6735,2017-07-20,0.001,CN,10.69,32073.94,32073.94,2016-07-19,2016,NA,NA,0,565,major,0,1,1,62,N,F,0,NA,NA,major_2017,0.09003215434083602,0.098493887,NA,57447.427596153844,-25373.487596153846,F
